"Issue Type","Issue Key","Summary","Description","Status","Priority","Labels","Epic Link","Epic Name","Created","Resolved"
"Epic","SAR-1","Детектор и отчёты","Поиск объектов на кадрах и сборка самодостаточного отчёта. Автоматика здесь -- вспомогательный сигнал, а не замена человека: по договорённости с заказчиком платформа вкладывается в организацию ручного разбора, а не в качество детекции.","In Progress","High","эпик","","Детектор и отчёты","2026-08-15",""
"Epic","SAR-2","Ручной разбор и плеер","Главный инструмент волонтёра: просмотр видео, разметка находок, учёт фактически просмотренного. Именно здесь платформа приносит основную пользу.","In Progress","High","эпик","","Ручной разбор и плеер","2026-08-15",""
"Epic","SAR-3","Операции, роли и доступ","Материал группируется по операциям; платформа рассчитана на несколько одновременных. Права выдаются только явным действием, никогда по догадке о личности.","In Progress","High","эпик","","Операции, роли и доступ","2026-08-15",""
"Epic","SAR-4","Находки, триаж и обсуждение","Что человек отметил, как это оценили и что об этом сказали. Все находки без исключения ставятся людьми.","In Progress","High","эпик","","Находки, триаж и обсуждение","2026-08-15",""
"Epic","SAR-5","Телеграм-бот и выдача доступа","Опознание участников и вход по персональной ссылке. Общий пароль в чат не отправляется никогда.","In Progress","High","эпик","","Телеграм-бот и выдача доступа","2026-08-15",""
"Epic","SAR-6","Мониторинг и наблюдаемость","Prometheus, Grafana, тревоги. Главная категория багов проекта -- молчаливые отказы, и мониторинг существует именно против них.","In Progress","High","эпик","","Мониторинг и наблюдаемость","2026-08-15",""
"Epic","SAR-7","Надёжность и производительность","Платформа работает в поле на одном ноутбуке. Регрессия здесь -- это не «поправим на следующем спринте», а неработающий инструмент прямо во время поиска.","In Progress","High","эпик","","Надёжность и производительность","2026-08-15",""
"Epic","SAR-8","Место на диске","Материал операции, отчёты и копии на машине с ограниченным диском.","In Progress","High","эпик","","Место на диске","2026-08-15",""
"Epic","SAR-9","Облачное хранилище материала","Материал живёт в Google Диске или Яндекс.Диске, локально остаются только отчёты и лёгкие копии. Эпик сентября 2026 года.","In Progress","High","эпик","","Облачное хранилище материала","2026-08-15",""
"Epic","SAR-10","Развёртывание и инфраструктура","Запуск, доступ снаружи, резервное копирование, переносимость.","In Progress","High","эпик","","Развёртывание и инфраструктура","2026-08-15",""
"Epic","SAR-11","Документы и представление проекта","Материалы для руководства ПСР, МЧС и координаторов.","In Progress","High","эпик","","Документы и представление проекта","2026-08-15",""
"Story","SAR-12","Мультикласс-детекция объектов на кадре","Тайлинг кадра с перекрытием, инференс по заданному словарю классов. Открытый словарь позволяет искать снаряжение и одежду без дообучения.","Done","Highest","детектор","SAR-1","","2026-08-15","2026-08-15"
"Story","SAR-13","Цветовой детектор аномалий","Отдельный от модели сигнал: яркие пятна снаряжения, которые object detection на мелком масштабе часто пропускает.","Done","Medium","детектор","SAR-1","","2026-08-15",""
"Story","SAR-14","Группировка детекций в сцены","Онлайн-трекер по классу, источнику и близости во времени и пространстве. Без группировки страница отчёта становится нерабочей: тысячи сырых детекций вместо десятков сцен.","Done","Highest","детектор отчёт","SAR-1","","2026-08-15",""
"Story","SAR-15","Самодостаточный report.html","Отчёт открывается и без сервера. Сетка карточек сцен, клик по сцене -- все её кадры, клик по кадру -- полноэкранный просмотр с зумом.","Done","High","отчёт","SAR-1","","2026-08-15",""
"Story","SAR-16","Парсинг SRT-телеметрии для GPS по таймкоду","Порядок координат в GPS-тройке без подписей НЕ стандартизован между прошивками. Настраивается явно: неправильная догадка здесь хуже, чем отсутствие координаты вообще.","Done","High","телеметрия","SAR-1","","2026-08-15",""
"Story","SAR-17","Живой предпросмотр рамок во время обработки","Детектор периодически и атомарно дописывает найденное, не дожидаясь конца обработки. Плеер доступен и во время работы модели.","Done","High","детектор плеер","SAR-1","","2026-08-15",""
"Task","SAR-18","Замена ultralytics на ONNX Runtime и YOLOX","Снятие лицензии AGPL: платформа раздаётся по MIT, и вирусная лицензия зависимости сделала бы это невозможным.","Done","Highest","лицензии детектор","SAR-1","","2026-08-15","2026-08-17"
"Task","SAR-19","Тумблер авто-обработки","Анализ только по выбранным файлам. Нужен, чтобы подключать большой материал, не запуская модель на всём подряд.","Done","Medium","детектор","SAR-1","","2026-08-15","2026-08-15"
"Task","SAR-20","Очередь: фото обрабатываются раньше видео","Снимок считается секунды, видео -- часы. Ставить фото за видео значит держать человека в ожидании там, где ждать не нужно.","Done","Medium","очередь","SAR-1","","2026-08-15","2026-08-15"
"Task","SAR-21","Детектор запускается с пониженным приоритетом","Инференс не должен мешать интерактивной работе на той же машине.","Done","Medium","производительность","SAR-1","","2026-08-15","2026-08-15"
"Bug","SAR-22","Убран синий из цветового детектора","На горном материале синий -- это небо и тени в снегу. Одно видео дало 503 499 ложных срабатываний, отчёт вырос до 296 МБ и перестал открываться.","Done","High","детектор баг","SAR-1","","2026-08-15","2026-08-15"
"Bug","SAR-23","cv2.imwrite портил имена файлов с кириллицей","Кропы не сохранялись у материала в папках с русскими названиями. Лечится кодированием в память и обычной записью байт.","Done","High","баг windows","SAR-1","","2026-08-15","2026-08-20"
"Task","SAR-24","Нарезка обучающих кадров по реестру находок","Выгрузка датасета из проверенных человеком находок.","Done","Low","датасет","SAR-1","","2026-08-15","2026-08-18"
"Bug","SAR-25","Обрыв чтения видео неотличим от конца файла","cap.read() возвращает «нет данных» и когда видео кончилось, и когда файл не прочитался. Писался нормальный на вид отчёт ПО ПОЛОВИНЕ видео: статус «готово», сцены есть, вторую половину не смотрел никто. Теперь недобор кадров сверх допуска -- ошибка.","Done","Highest","баг молчаливый-отказ детектор","SAR-9","","2026-08-15","2026-09-13"
"Story","SAR-26","GPU-инференс","Единственный рычаг ускорения на порядок, если пропускная способность станет узким местом.","To Do","Low","детектор производительность","SAR-1","","2026-08-15",""
